,split_id,precision macro average,precision weighted average,recall macro average,recall weighted average,accuracy,F1 macro average,F1 weighted average,CM,F1_concurrency,recall_concurrency,precision_concurrency,F1_memory,recall_memory,precision_memory,F1_other,recall_other,precision_other,F1_semantic,recall_semantic,precision_semantic,params,classifier,target,projects
0,3,0.6232142857142857,0.6243218806509946,0.6098684210526315,0.6075949367088608,0.6075949367088608,0.5964617229870671,0.5959321514762651,"[[15, 1, 1, 3], [3, 12, 4, 1], [2, 0, 15, 2], [5, 1, 8, 6]]",0.6666666666666665,0.75,0.6,0.7058823529411764,0.6,0.8571428571428571,0.6382978723404255,0.7894736842105263,0.5357142857142857,0.37499999999999994,0.3,0.5,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": null}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""druid"", ""junit5"", ""pact-jvm"", ""pinpoint"", ""redisson"", ""speedment"", ""spring-boot""]"
0,2,0.6678571428571428,0.6678571428571429,0.6499999999999999,0.65,0.65,0.6341500302480337,0.6341500302480338,"[[16, 2, 1, 1], [3, 15, 0, 2], [1, 4, 15, 0], [8, 4, 2, 6]]",0.6666666666666666,0.8,0.5714285714285714,0.6666666666666665,0.75,0.6,0.7894736842105262,0.75,0.8333333333333334,0.41379310344827586,0.3,0.6666666666666666,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""druid"", ""junit5"", ""pact-jvm"", ""pinpoint"", ""redisson"", ""speedment"", ""spring-boot""]"
0,0,0.6570346320346321,0.657034632034632,0.6625,0.6625,0.6625,0.6561556329849013,0.6561556329849012,"[[14, 4, 1, 1], [1, 17, 1, 1], [3, 0, 13, 4], [4, 1, 6, 9]]",0.6666666666666666,0.7,0.6363636363636364,0.8095238095238095,0.85,0.7727272727272727,0.6341463414634146,0.65,0.6190476190476191,0.5142857142857143,0.45,0.6,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""druid"", ""junit5"", ""pact-jvm"", ""pinpoint"", ""redisson"", ""speedment"", ""spring-boot""]"
0,3,0.695496632996633,0.6937518646379405,0.6973684210526315,0.6962025316455697,0.6962025316455697,0.6846714210411019,0.6830747199047765,"[[16, 1, 0, 3], [1, 17, 1, 1], [3, 0, 15, 1], [7, 4, 2, 7]]",0.6808510638297872,0.8,0.5925925925925926,0.8095238095238095,0.85,0.7727272727272727,0.8108108108108109,0.7894736842105263,0.8333333333333334,0.4375,0.35,0.5833333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""druid"", ""junit5"", ""pact-jvm"", ""pinpoint"", ""redisson"", ""speedment"", ""spring-boot""]"
0,0,0.6889338731443995,0.6889338731443994,0.6625000000000001,0.6625,0.6625,0.6659117191211259,0.6659117191211259,"[[16, 0, 1, 3], [2, 14, 0, 4], [3, 0, 14, 3], [5, 0, 6, 9]]",0.6956521739130435,0.8,0.6153846153846154,0.8235294117647058,0.7,1.0,0.6829268292682926,0.7,0.6666666666666666,0.46153846153846156,0.45,0.47368421052631576,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""druid"", ""junit5"", ""pact-jvm"", ""pinpoint"", ""redisson"", ""speedment"", ""spring-boot""]"
0,3,0.6557659134034846,0.6543869264547572,0.6585526315789473,0.6582278481012658,0.6582278481012658,0.6386042589078642,0.6375458036760369,"[[14, 3, 1, 2], [0, 19, 0, 1], [2, 2, 13, 2], [4, 7, 3, 6]]",0.7,0.7,0.7,0.7450980392156863,0.95,0.6129032258064516,0.7222222222222222,0.6842105263157895,0.7647058823529411,0.3870967741935483,0.3,0.5454545454545454,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""druid"", ""junit5"", ""pact-jvm"", ""pinpoint"", ""redisson"", ""speedment"", ""spring-boot""]"
0,1,0.7475,0.7474999999999999,0.7000000000000001,0.7,0.7,0.6953724747474748,0.6953724747474748,"[[16, 0, 1, 3], [3, 13, 4, 0], [2, 0, 18, 0], [4, 0, 7, 9]]",0.7111111111111111,0.8,0.64,0.787878787878788,0.65,1.0,0.7200000000000001,0.9,0.6,0.5625000000000001,0.45,0.75,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": true, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""druid"", ""junit5"", ""pact-jvm"", ""pinpoint"", ""redisson"", ""speedment"", ""spring-boot""]"
0,1,0.6932419432419433,0.6932419432419432,0.7124999999999999,0.7125,0.7125,0.6891457555618795,0.6891457555618795,"[[15, 3, 1, 1], [0, 19, 0, 1], [0, 0, 17, 3], [6, 5, 3, 6]]",0.7317073170731706,0.75,0.7142857142857143,0.8085106382978724,0.95,0.7037037037037037,0.8292682926829269,0.85,0.8095238095238095,0.3870967741935483,0.3,0.5454545454545454,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": ""english""}",MultinomialNB(fit_prior=False),concurrency,"[""ExoPlayer"", ""druid"", ""junit5"", ""pact-jvm"", ""pinpoint"", ""redisson"", ""speedment"", ""spring-boot""]"
0,0,0.6467261904761904,0.6467261904761905,0.6375,0.6375,0.6375,0.6224832887700535,0.6224832887700534,"[[17, 0, 2, 1], [3, 13, 1, 3], [1, 0, 16, 3], [3, 1, 11, 5]]",0.7727272727272727,0.85,0.7083333333333334,0.7647058823529412,0.65,0.9285714285714286,0.64,0.8,0.5333333333333333,0.3125,0.25,0.4166666666666667,"{""artifactspred__replacement_strategy"": ""no_replacements"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": false, ""vect__stemming"": true, ""vect__stop_words"": ""english""}","RandomForestClassifier(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""druid"", ""junit5"", ""pact-jvm"", ""pinpoint"", ""redisson"", ""speedment"", ""spring-boot""]"
0,1,0.7085803689064559,0.7085803689064558,0.725,0.725,0.725,0.7071047895902547,0.7071047895902547,"[[17, 2, 0, 1], [1, 17, 1, 1], [0, 0, 17, 3], [5, 3, 5, 7]]",0.7906976744186046,0.85,0.7391304347826086,0.8095238095238095,0.85,0.7727272727272727,0.7906976744186046,0.85,0.7391304347826086,0.4375,0.35,0.5833333333333334,"{""artifactspred__replacement_strategy"": ""keep_exception_names"", ""clf__class_weight"": {""0"": 4}, ""decamelcase__decamlecase"": false, ""tfidf__use_idf"": true, ""vect__stemming"": true, ""vect__stop_words"": null}","LinearSVC(class_weight={0: 4}, random_state=42)",concurrency,"[""ExoPlayer"", ""druid"", ""junit5"", ""pact-jvm"", ""pinpoint"", ""redisson"", ""speedment"", ""spring-boot""]"
